order_month,orders,mean_quantity,total_revenue,avg_order_price,hour
132,1,9,2.89,410.25,45.58,2015-01-12 13:00:00
133,1,3,2.0,103.5,34.5,2015-01-12 14:00:00
134,1,3,2.33,98.7,32.9,2015-01-12 15:00:00
135,1,4,1.25,75.0,18.75,2015-01-12 16:00:00
136,1,8,2.0,251.5,31.44,2015-01-12 17:00:00
137,1,5,2.6,205.45,41.09,2015-01-12 18:00:00
138,1,8,1.5,190.2,23.78,2015-01-12 19:00:00
139,1,2,1.5,56.75,28.38,2015-01-12 20:00:00
140,1,2,3.5,108.5,54.25,2015-01-12 21:00:00
141,1,1,1.0,16.5,16.5,2015-01-12 22:00:00
142,1,1,2.0,33.5,33.5,2015-01-13 11:00:00
143,1,5,3.8,346.45,69.29,2015-01-13 12:00:00
144,1,4,2.75,194.5,48.62,2015-01-13 13:00:00
145,1,4,1.5,98.75,24.69,2015-01-13 14:00:00
146,1,6,2.83,249.5,41.58,2015-01-13 15:00:00
147,1,8,2.12,304.25,38.03,2015-01-13 16:00:00
148,1,7,2.0,228.4,32.63,2015-01-13 17:00:00
149,1,5,2.4,203.25,40.65,2015-01-13 18:00:00
150,1,3,3.33,170.5,56.83,2015-01-13 19:00:00
151,1,3,2.67,151.75,50.58,2015-01-13 20:00:00
152,1,2,2.0,68.75,34.38,2015-01-13 21:00:00
153,1,5,1.4,125.75,25.15,2015-01-14 11:00:00
154,1,11,3.09,552.95,50.27,2015-01-14 12:00:00
155,1,4,4.25,279.0,69.75,2015-01-14 13:00:00
156,1,7,1.29,144.25,20.61,2015-01-14 14:00:00
157,1,1,2.0,26.75,26.75,2015-01-14 15:00:00
158,1,3,1.67,86.25,28.75,2015-01-14 16:00:00
159,1,9,2.44,393.0,43.67,2015-01-14 17:00:00
160,1,8,2.62,356.25,44.53,2015-01-14 18:00:00
161,1,3,3.33,154.0,51.33,2015-01-14 19:00:00
162,1,6,2.0,220.2,36.7,2015-01-14 20:00:00
163,1,4,2.25,149.75,37.44,2015-01-14 21:00:00
164,1,1,2.0,39.25,39.25,2015-01-14 22:00:00
165,1,2,1.0,24.5,12.25,2015-01-15 11:00:00
166,1,8,2.25,298.2,37.28,2015-01-15 12:00:00
167,1,7,1.86,209.75,29.96,2015-01-15 13:00:00
168,1,9,2.22,324.25,36.03,2015-01-15 14:00:00
169,1,5,1.6,122.95,24.59,2015-01-15 15:00:00
170,1,8,2.5,294.0,36.75,2015-01-15 16:00:00
171,1,6,1.67,170.0,28.33,2015-01-15 17:00:00
172,1,7,1.86,219.15,31.31,2015-01-15 18:00:00
173,1,5,1.8,166.0,33.2,2015-01-15 19:00:00
174,1,4,2.0,122.75,30.69,2015-01-15 20:00:00
175,1,1,2.0,33.25,33.25,2015-01-15 21:00:00
176,1,5,2.0,146.5,29.3,2015-01-16 11:00:00
177,1,4,3.5,238.5,59.62,2015-01-16 12:00:00
178,1,10,2.7,439.0,43.9,2015-01-16 13:00:00
179,1,2,1.5,60.0,30.0,2015-01-16 14:00:00
180,1,5,2.0,163.5,32.7,2015-01-16 15:00:00
181,1,5,2.2,180.25,36.05,2015-01-16 16:00:00
182,1,6,2.17,221.45,36.91,2015-01-16 17:00:00
183,1,5,2.8,225.25,45.05,2015-01-16 18:00:00
184,1,12,2.33,465.95,38.83,2015-01-16 19:00:00
185,1,4,3.0,195.25,48.81,2015-01-16 20:00:00
186,1,5,2.0,165.0,33.0,2015-01-16 21:00:00
187,1,4,1.5,93.5,23.38,2015-01-16 22:00:00
188,1,1,1.0,15.25,15.25,2015-01-17 11:00:00
189,1,4,5.25,361.3,90.32,2015-01-17 12:00:00
190,1,1,1.0,20.75,20.75,2015-01-17 13:00:00
191,1,7,2.0,227.45,32.49,2015-01-17 14:00:00
192,1,4,1.25,61.25,15.31,2015-01-17 15:00:00
193,1,3,2.0,98.25,32.75,2015-01-17 16:00:00
194,1,10,2.1,357.4,35.74,2015-01-17 17:00:00
195,1,4,1.75,117.0,29.25,2015-01-17 18:00:00
196,1,7,2.29,261.25,37.32,2015-01-17 19:00:00
197,1,3,2.67,107.25,35.75,2015-01-17 20:00:00
198,1,8,2.12,295.95,36.99,2015-01-17 21:00:00
199,1,3,2.67,141.0,47.0,2015-01-17 22:00:00
200,1,3,1.33,74.5,24.83,2015-01-18 11:00:00
201,1,3,5.33,272.75,90.92,2015-01-18 12:00:00
202,1,5,2.0,163.25,32.65,2015-01-18 13:00:00
203,1,8,2.38,296.15,37.02,2015-01-18 14:00:00
204,1,5,1.8,145.0,29.0,2015-01-18 15:00:00
205,1,6,2.17,202.0,33.67,2015-01-18 16:00:00
206,1,5,2.6,205.5,41.1,2015-01-18 17:00:00
207,1,8,2.88,365.0,45.62,2015-01-18 18:00:00
208,1,3,1.33,73.0,24.33,2015-01-18 19:00:00
209,1,3,2.0,95.2,31.73,2015-01-18 20:00:00
210,1,2,2.5,84.5,42.25,2015-01-18 21:00:00
211,1,6,1.83,192.7,32.12,2015-01-19 11:00:00
212,1,9,4.78,746.25,82.92,2015-01-19 12:00:00
213,1,5,2.2,196.75,39.35,2015-01-19 13:00:00
214,1,3,2.0,82.25,27.42,2015-01-19 14:00:00
215,1,3,1.67,90.5,30.17,2015-01-19 15:00:00
216,1,5,2.0,172.75,34.55,2015-01-19 16:00:00
217,1,8,2.0,256.5,32.06,2015-01-19 17:00:00
218,1,8,2.25,287.25,35.91,2015-01-19 18:00:00
219,1,5,3.0,249.7,49.94,2015-01-19 19:00:00
220,1,1,1.0,11.0,11.0,2015-01-19 20:00:00
221,1,2,2.0,64.75,32.38,2015-01-19 21:00:00
222,1,1,2.0,36.75,36.75,2015-01-19 22:00:00
223,1,6,2.67,276.75,46.12,2015-01-20 11:00:00
224,1,11,3.91,699.95,63.63,2015-01-20 12:00:00
225,1,4,1.75,110.75,27.69,2015-01-20 13:00:00
226,1,5,1.6,127.25,25.45,2015-01-20 14:00:00
227,1,5,1.4,121.5,24.3,2015-01-20 15:00:00
228,1,5,1.8,136.45,27.29,2015-01-20 16:00:00
229,1,4,3.0,185.75,46.44,2015-01-20 17:00:00
230,1,6,1.83,220.05,36.68,2015-01-20 18:00:00
231,1,8,1.38,203.7,25.46,2015-01-20 19:00:00
232,1,6,2.17,214.5,35.75,2015-01-20 20:00:00
233,1,4,1.5,101.25,25.31,2015-01-20 22:00:00
234,1,2,1.0,32.75,16.38,2015-01-21 11:00:00
235,1,4,4.25,271.75,67.94,2015-01-21 12:00:00
236,1,6,1.67,138.9,23.15,2015-01-21 13:00:00
237,1,5,3.8,325.7,65.14,2015-01-21 14:00:00
238,1,7,2.0,214.5,30.64,2015-01-21 15:00:00
239,1,7,2.57,279.7,39.96,2015-01-21 16:00:00
240,1,4,2.5,159.45,39.86,2015-01-21 17:00:00
241,1,6,2.83,279.0,46.5,2015-01-21 18:00:00
242,1,5,2.6,200.85,40.17,2015-01-21 19:00:00
243,1,2,1.5,42.95,21.48,2015-01-21 20:00:00
244,1,3,2.0,95.0,31.67,2015-01-21 21:00:00
245,1,2,2.0,80.9,40.45,2015-01-22 11:00:00
246,1,12,2.67,481.75,40.15,2015-01-22 12:00:00
247,1,11,2.82,506.7,46.06,2015-01-22 13:00:00
248,1,3,2.33,128.7,42.9,2015-01-22 14:00:00
249,1,4,2.25,117.75,29.44,2015-01-22 15:00:00
250,1,3,1.67,63.25,21.08,2015-01-22 16:00:00
251,1,12,2.58,494.5,41.21,2015-01-22 17:00:00
252,1,4,3.0,181.25,45.31,2015-01-22 18:00:00
253,1,5,1.2,99.9,19.98,2015-01-22 19:00:00
254,1,8,1.62,205.5,25.69,2015-01-22 20:00:00
255,1,2,1.5,58.25,29.12,2015-01-22 21:00:00
256,1,1,3.0,47.0,47.0,2015-01-22 22:00:00
257,1,1,2.0,31.25,31.25,2015-01-22 23:00:00
258,1,5,4.2,327.0,65.4,2015-01-23 11:00:00
259,1,8,1.75,216.1,27.01,2015-01-23 12:00:00
260,1,5,1.4,107.5,21.5,2015-01-23 13:00:00
261,1,6,2.5,262.9,43.82,2015-01-23 14:00:00
262,1,4,2.0,124.75,31.19,2015-01-23 15:00:00
263,1,7,2.0,221.0,31.57,2015-01-23 16:00:00
264,1,10,1.9,313.0,31.3,2015-01-23 17:00:00
265,1,7,2.14,213.75,30.54,2015-01-23 18:00:00
266,1,8,2.5,316.95,39.62,2015-01-23 19:00:00
267,1,5,2.4,189.75,37.95,2015-01-23 20:00:00
268,1,2,2.5,94.25,47.12,2015-01-23 21:00:00
269,1,2,1.0,36.75,18.38,2015-01-23 22:00:00
270,1,1,1.0,20.75,20.75,2015-01-24 11:00:00
271,1,3,2.67,128.5,42.83,2015-01-24 12:00:00
272,1,4,1.0,54.5,13.62,2015-01-24 13:00:00
273,1,7,2.57,269.25,38.46,2015-01-24 14:00:00
274,1,3,1.67,69.75,23.25,2015-01-24 15:00:00
275,1,7,2.29,218.5,31.21,2015-01-24 16:00:00
276,1,4,2.5,172.0,43.0,2015-01-24 17:00:00
277,1,7,2.29,293.9,41.99,2015-01-24 18:00:00
278,1,15,2.27,584.65,38.98,2015-01-24 19:00:00
279,1,8,2.25,287.0,35.88,2015-01-24 20:00:00
280,1,3,3.33,165.95,55.32,2015-01-24 21:00:00
281,1,1,2.0,24.5,24.5,2015-01-24 22:00:00
282,1,2,3.0,88.75,44.38,2015-01-25 12:00:00
283,1,4,4.25,272.4,68.1,2015-01-25 13:00:00
284,1,9,1.78,254.7,28.3,2015-01-25 14:00:00
285,1,3,2.0,99.25,33.08,2015-01-25 15:00:00
286,1,5,2.8,214.2,42.84,2015-01-25 16:00:00
287,1,5,2.0,167.35,33.47,2015-01-25 17:00:00
288,1,4,2.25,143.75,35.94,2015-01-25 18:00:00
289,1,4,1.5,100.15,25.04,2015-01-25 19:00:00
290,1,4,2.5,147.75,36.94,2015-01-25 20:00:00
291,1,4,2.0,129.25,32.31,2015-01-25 21:00:00
292,1,4,2.25,163.5,40.88,2015-01-26 11:00:00
293,1,6,3.67,393.6,65.6,2015-01-26 12:00:00
294,1,11,1.64,261.95,23.81,2015-01-26 13:00:00
295,1,9,1.56,241.75,26.86,2015-01-26 14:00:00
296,1,5,1.6,141.4,28.28,2015-01-26 15:00:00
297,1,5,2.8,220.2,44.04,2015-01-26 16:00:00
298,1,2,2.0,66.0,33.0,2015-01-26 17:00:00
299,1,4,2.5,168.0,42.0,2015-01-26 18:00:00
300,1,4,1.5,101.0,25.25,2015-01-26 19:00:00
301,1,2,2.0,69.25,34.62,2015-01-26 20:00:00
302,1,3,1.33,57.75,19.25,2015-01-26 21:00:00
303,1,3,1.67,94.75,31.58,2015-01-27 11:00:00
304,1,7,1.43,190.25,27.18,2015-01-27 12:00:00
305,1,9,3.89,583.15,64.79,2015-01-27 13:00:00
306,1,3,1.67,83.0,27.67,2015-01-27 14:00:00
307,1,4,1.75,112.5,28.12,2015-01-27 15:00:00
308,1,5,2.6,252.65,50.53,2015-01-27 16:00:00
309,1,8,2.5,320.0,40.0,2015-01-27 17:00:00
310,1,12,2.08,405.45,33.79,2015-01-27 18:00:00
311,1,1,1.0,13.25,13.25,2015-01-27 19:00:00
312,1,7,1.86,215.9,30.84,2015-01-27 20:00:00
313,1,3,3.33,156.45,52.15,2015-01-27 21:00:00
314,1,4,1.75,100.7,25.18,2015-01-27 22:00:00
315,1,8,1.75,242.15,30.27,2015-01-28 11:00:00
316,1,9,2.22,325.1,36.12,2015-01-28 12:00:00
317,1,6,3.33,328.25,54.71,2015-01-28 13:00:00
318,1,3,3.0,151.0,50.33,2015-01-28 14:00:00
319,1,5,2.4,220.5,44.1,2015-01-28 15:00:00
320,1,4,2.0,144.0,36.0,2015-01-28 16:00:00
321,1,2,2.0,73.25,36.62,2015-01-28 17:00:00
322,1,5,3.0,266.25,53.25,2015-01-28 18:00:00
323,1,3,1.33,69.75,23.25,2015-01-28 19:00:00
324,1,1,4.0,74.75,74.75,2015-01-28 20:00:00
325,1,4,1.25,77.25,19.31,2015-01-28 21:00:00
326,1,1,3.0,43.75,43.75,2015-01-28 22:00:00
327,1,3,2.33,134.5,44.83,2015-01-29 11:00:00
328,1,6,1.5,149.7,24.95,2015-01-29 12:00:00
329,1,13,3.0,684.75,52.67,2015-01-29 13:00:00
330,1,4,1.0,62.25,15.56,2015-01-29 14:00:00
331,1,2,2.0,78.0,39.0,2015-01-29 15:00:00
332,1,6,1.5,156.0,26.0,2015-01-29 16:00:00
333,1,1,2.0,29.25,29.25,2015-01-29 17:00:00
334,1,8,2.25,304.2,38.02,2015-01-29 18:00:00
335,1,4,2.0,134.0,33.5,2015-01-29 19:00:00
336,1,8,1.75,236.65,29.58,2015-01-29 20:00:00
337,1,2,1.5,46.5,23.25,2015-01-29 21:00:00
338,1,1,2.0,29.5,29.5,2015-01-29 22:00:00
339,1,4,2.0,129.5,32.38,2015-01-30 11:00:00
340,1,5,3.8,314.95,62.99,2015-01-30 12:00:00
341,1,4,2.5,156.25,39.06,2015-01-30 13:00:00
342,1,6,1.83,182.15,30.36,2015-01-30 14:00:00
343,1,3,1.33,62.75,20.92,2015-01-30 15:00:00
344,1,5,2.2,185.25,37.05,2015-01-30 16:00:00
345,1,6,2.5,248.75,41.46,2015-01-30 17:00:00
346,1,7,1.43,156.95,22.42,2015-01-30 18:00:00
347,1,6,1.83,184.0,30.67,2015-01-30 19:00:00
348,1,8,1.62,198.25,24.78,2015-01-30 20:00:00
349,1,9,2.33,365.25,40.58,2015-01-30 21:00:00
350,1,2,2.5,86.25,43.12,2015-01-30 22:00:00
351,1,3,2.33,122.0,40.67,2015-01-31 11:00:00
352,1,3,6.67,344.65,114.88,2015-01-31 13:00:00
353,1,5,2.4,217.9,43.58,2015-01-31 14:00:00
354,1,2,2.5,84.25,42.12,2015-01-31 15:00:00
355,1,7,2.43,254.5,36.36,2015-01-31 16:00:00
356,1,5,2.6,206.7,41.34,2015-01-31 17:00:00
357,1,11,2.55,464.65,42.24,2015-01-31 18:00:00
358,1,3,2.67,142.75,47.58,2015-01-31 19:00:00
359,1,9,2.11,336.2,37.36,2015-01-31 20:00:00
360,1,4,2.5,147.0,36.75,2015-01-31 21:00:00
361,1,2,3.0,97.25,48.62,2015-01-31 22:00:00
362,2,4,1.25,87.25,21.81,2015-02-01 11:00:00
363,2,10,3.2,536.2,53.62,2015-02-01 12:00:00
364,2,3,2.0,96.5,32.17,2015-02-01 13:00:00
365,2,3,2.33,125.25,41.75,2015-02-01 14:00:00
366,2,4,4.25,265.5,66.38,2015-02-01 15:00:00
367,2,4,1.5,85.5,21.38,2015-02-01 16:00:00
368,2,5,2.0,176.75,35.35,2015-02-01 17:00:00
369,2,12,3.0,616.5,51.38,2015-02-01 18:00:00
370,2,8,2.12,286.95,35.87,2015-02-01 19:00:00
371,2,5,1.6,136.0,27.2,2015-02-01 20:00:00
372,2,5,2.4,173.75,34.75,2015-02-01 21:00:00
373,2,4,2.25,145.75,36.44,2015-02-01 22:00:00
374,2,6,1.83,185.75,30.96,2015-02-02 11:00:00
375,2,7,1.43,146.75,20.96,2015-02-02 12:00:00
376,2,9,2.44,376.5,41.83,2015-02-02 13:00:00
377,2,3,6.0,283.5,94.5,2015-02-02 14:00:00
378,2,6,1.5,156.25,26.04,2015-02-02 15:00:00
379,2,5,3.6,278.35,55.67,2015-02-02 16:00:00
380,2,6,2.0,180.5,30.08,2015-02-02 17:00:00
381,2,3,2.0,94.5,31.5,2015-02-02 18:00:00
382,2,7,1.57,168.25,24.04,2015-02-02 19:00:00
383,2,4,3.0,202.25,50.56,2015-02-02 20:00:00
384,2,4,1.75,111.5,27.88,2015-02-02 21:00:00
385,2,3,3.0,144.5,48.17,2015-02-02 22:00:00
386,2,3,1.33,60.75,20.25,2015-02-03 11:00:00
387,2,8,4.38,608.45,76.06,2015-02-03 12:00:00
388,2,9,1.44,236.15,26.24,2015-02-03 13:00:00
389,2,3,2.0,94.5,31.5,2015-02-03 14:00:00
390,2,7,2.14,249.0,35.57,2015-02-03 15:00:00
391,2,5,2.0,182.7,36.54,2015-02-03 16:00:00
392,2,6,2.5,255.25,42.54,2015-02-03 17:00:00
393,2,7,2.43,305.0,43.57,2015-02-03 18:00:00
394,2,3,3.0,150.25,50.08,2015-02-03 19:00:00
395,2,1,1.0,16.5,16.5,2015-02-03 20:00:00
396,2,5,2.6,210.0,42.0,2015-02-03 21:00:00
397,2,1,1.0,10.5,10.5,2015-02-03 22:00:00
398,2,4,4.5,317.25,79.31,2015-02-04 11:00:00
399,2,13,2.85,647.8,49.83,2015-02-04 12:00:00
400,2,7,2.0,241.4,34.49,2015-02-04 13:00:00
401,2,1,2.0,22.25,22.25,2015-02-04 14:00:00
402,2,5,2.6,220.4,44.08,2015-02-04 15:00:00
403,2,7,2.57,304.9,43.56,2015-02-04 16:00:00
404,2,7,2.29,256.4,36.63,2015-02-04 17:00:00
405,2,5,2.4,206.25,41.25,2015-02-04 18:00:00
406,2,4,2.0,143.5,35.88,2015-02-04 19:00:00
407,2,3,1.33,58.25,19.42,2015-02-04 20:00:00
408,2,3,1.33,66.0,22.0,2015-02-04 21:00:00
409,2,3,1.33,62.75,20.92,2015-02-04 22:00:00
410,2,2,1.5,40.75,20.38,2015-02-05 11:00:00
411,2,5,4.6,353.65,70.73,2015-02-05 12:00:00
412,2,2,2.0,61.0,30.5,2015-02-05 13:00:00
413,2,6,2.33,213.5,35.58,2015-02-05 14:00:00
414,2,4,2.0,139.5,34.88,2015-02-05 15:00:00
415,2,7,1.71,191.0,27.29,2015-02-05 16:00:00
416,2,9,1.78,243.7,27.08,2015-02-05 17:00:00
417,2,7,2.43,287.45,41.06,2015-02-05 18:00:00
418,2,7,2.29,254.7,36.39,2015-02-05 19:00:00
419,2,10,1.9,315.75,31.58,2015-02-05 20:00:00
420,2,5,2.8,218.45,43.69,2015-02-05 21:00:00
421,2,4,1.5,80.75,20.19,2015-02-05 22:00:00
422,2,5,1.8,145.25,29.05,2015-02-06 11:00:00
423,2,5,5.4,433.7,86.74,2015-02-06 12:00:00
424,2,10,2.1,373.75,37.38,2015-02-06 13:00:00
425,2,4,2.25,151.25,37.81,2015-02-06 14:00:00
426,2,6,2.0,204.85,34.14,2015-02-06 15:00:00
427,2,8,2.5,359.2,44.9,2015-02-06 16:00:00
428,2,5,2.6,201.0,40.2,2015-02-06 17:00:00
429,2,5,2.0,167.75,33.55,2015-02-06 18:00:00
430,2,5,2.0,169.5,33.9,2015-02-06 19:00:00
431,2,1,2.0,24.75,24.75,2015-02-06 20:00:00
432,2,2,2.5,78.0,39.0,2015-02-06 21:00:00
433,2,3,3.0,140.95,46.98,2015-02-06 22:00:00
434,2,1,3.0,53.25,53.25,2015-02-07 10:00:00
435,2,8,2.12,291.45,36.43,2015-02-07 11:00:00
436,2,11,1.64,284.4,25.85,2015-02-07 12:00:00
437,2,9,2.56,394.5,43.83,2015-02-07 13:00:00
438,2,6,1.67,172.45,28.74,2015-02-07 15:00:00
439,2,7,2.57,288.85,41.26,2015-02-07 16:00:00
440,2,9,2.56,373.5,41.5,2015-02-07 17:00:00
441,2,3,2.0,92.5,30.83,2015-02-07 18:00:00
442,2,4,2.75,180.0,45.0,2015-02-07 19:00:00
443,2,2,1.5,50.95,25.48,2015-02-07 20:00:00
444,2,3,2.0,112.95,37.65,2015-02-07 21:00:00
445,2,4,4.25,297.9,74.47,2015-02-08 12:00:00
446,2,4,5.75,387.5,96.88,2015-02-08 13:00:00
447,2,3,1.33,66.0,22.0,2015-02-08 14:00:00
448,2,4,1.25,86.75,21.69,2015-02-08 15:00:00
